Name,Plot,Herbivory,Row,Column,Label,Observation_Number,Timepoint
A3_2X2_ortho.jpg,A3,2x2,222,225,CCA,1,T0
A3_2X2_ortho.jpg,A3,2x2,222,676,Lobo_enc,2,T0
A3_2X2_ortho.jpg,A3,2x2,222,1128,CCA,3,T0
A3_2X2_ortho.jpg,A3,2x2,222,1580,Lobo_enc,4,T0
A3_2X2_ortho.jpg,A3,2x2,222,2031,CCA,5,T0
A3_2X2_ortho.jpg,A3,2x2,222,2483,CCA,6,T0
A3_2X2_ortho.jpg,A3,2x2,222,2935,CCA,7,T0
A3_2X2_ortho.jpg,A3,2x2,222,3386,Lobo_enc,8,T0
A3_2X2_ortho.jpg,A3,2x2,222,3838,Sed_turf,9,T0
A3_2X2_ortho.jpg,A3,2x2,222,4290,Lobo_enc,10,T0
A3_2X2_ortho.jpg,A3,2x2,222,4741,Sed_turf,11,T0
A3_2X2_ortho.jpg,A3,2x2,222,5193,Lobo_enc,12,T0
A3_2X2_ortho.jpg,A3,2x2,222,5645,Cage,13,T0
A3_2X2_ortho.jpg,A3,2x2,222,6096,OUT,14,T0
A3_2X2_ortho.jpg,A3,2x2,222,6548,OUT,15,T0
A3_2X2_ortho.jpg,A3,2x2,669,225,CCA,16,T0
A3_2X2_ortho.jpg,A3,2x2,669,676,CCA,17,T0
A3_2X2_ortho.jpg,A3,2x2,669,1128,Sturf,18,T0
A3_2X2_ortho.jpg,A3,2x2,669,1580,Lobo_enc,19,T0
A3_2X2_ortho.jpg,A3,2x2,669,2031,Lobo_enc,20,T0
A3_2X2_ortho.jpg,A3,2x2,669,2483,Lobo_enc,21,T0
A3_2X2_ortho.jpg,A3,2x2,669,2935,CCA,22,T0
A3_2X2_ortho.jpg,A3,2x2,669,3386,Monti,23,T0
A3_2X2_ortho.jpg,A3,2x2,669,3838,Sed_turf,24,T0
A3_2X2_ortho.jpg,A3,2x2,669,4290,Sed_turf,25,T0
A3_2X2_ortho.jpg,A3,2x2,669,4741,Sed_turf,26,T0
A3_2X2_ortho.jpg,A3,2x2,669,5193,Sed_turf,27,T0
A3_2X2_ortho.jpg,A3,2x2,669,5645,Sed_turf,28,T0
A3_2X2_ortho.jpg,A3,2x2,669,6096,Cage,29,T0
A3_2X2_ortho.jpg,A3,2x2,669,6548,OUT,30,T0
A3_2X2_ortho.jpg,A3,2x2,1116,225,CCA,31,T0
A3_2X2_ortho.jpg,A3,2x2,1116,676,Lobo_enc,32,T0
A3_2X2_ortho.jpg,A3,2x2,1116,1128,Lobo_enc,33,T0
A3_2X2_ortho.jpg,A3,2x2,1116,1580,Lobo_enc,34,T0
A3_2X2_ortho.jpg,A3,2x2,1116,2031,Lobo_enc,35,T0
A3_2X2_ortho.jpg,A3,2x2,1116,2483,CCA,36,T0
A3_2X2_ortho.jpg,A3,2x2,1116,2935,CCA,37,T0
A3_2X2_ortho.jpg,A3,2x2,1116,3386,Monti,38,T0
A3_2X2_ortho.jpg,A3,2x2,1116,3838,Sedturfrub,39,T0
A3_2X2_ortho.jpg,A3,2x2,1116,4290,CCA,40,T0
A3_2X2_ortho.jpg,A3,2x2,1116,4741,Sed_turf,41,T0
A3_2X2_ortho.jpg,A3,2x2,1116,5193,Lobo_enc,42,T0
A3_2X2_ortho.jpg,A3,2x2,1116,5645,Sed_turf,43,T0
A3_2X2_ortho.jpg,A3,2x2,1116,6096,Lobo_enc,44,T0
A3_2X2_ortho.jpg,A3,2x2,1116,6548,Cage,45,T0
A3_2X2_ortho.jpg,A3,2x2,1562,225,Lobo_enc,46,T0
A3_2X2_ortho.jpg,A3,2x2,1562,676,CCA,47,T0
A3_2X2_ortho.jpg,A3,2x2,1562,1128,CCA,48,T0
A3_2X2_ortho.jpg,A3,2x2,1562,1580,Sand,49,T0
A3_2X2_ortho.jpg,A3,2x2,1562,2031,Lobo_enc,50,T0
A3_2X2_ortho.jpg,A3,2x2,1562,2483,Lobo_enc,51,T0
A3_2X2_ortho.jpg,A3,2x2,1562,2935,CCA,52,T0
A3_2X2_ortho.jpg,A3,2x2,1562,3386,Monti,53,T0
A3_2X2_ortho.jpg,A3,2x2,1562,3838,CCA,54,T0
A3_2X2_ortho.jpg,A3,2x2,1562,4290,Lobo_enc,55,T0
A3_2X2_ortho.jpg,A3,2x2,1562,4741,CCA,56,T0
A3_2X2_ortho.jpg,A3,2x2,1562,5193,Lobo_enc,57,T0
A3_2X2_ortho.jpg,A3,2x2,1562,5645,Sed_turf,58,T0
A3_2X2_ortho.jpg,A3,2x2,1562,6096,Sed_turf,59,T0
A3_2X2_ortho.jpg,A3,2x2,1562,6548,Sed_turf,60,T0
A3_2X2_ortho.jpg,A3,2x2,2009,225,Sed_turf,61,T0
A3_2X2_ortho.jpg,A3,2x2,2009,676,Sed_turf,62,T0
A3_2X2_ortho.jpg,A3,2x2,2009,1128,Lobo_enc,63,T0
A3_2X2_ortho.jpg,A3,2x2,2009,1580,Lobo_enc,64,T0
A3_2X2_ortho.jpg,A3,2x2,2009,2031,Lobo_enc,65,T0
A3_2X2_ortho.jpg,A3,2x2,2009,2483,Sed_turf,66,T0
A3_2X2_ortho.jpg,A3,2x2,2009,2935,Lobo_enc,67,T0
A3_2X2_ortho.jpg,A3,2x2,2009,3386,CCA,68,T0
A3_2X2_ortho.jpg,A3,2x2,2009,3838,Lobo_enc,69,T0
A3_2X2_ortho.jpg,A3,2x2,2009,4290,CCA,70,T0
A3_2X2_ortho.jpg,A3,2x2,2009,4741,CCA,71,T0
A3_2X2_ortho.jpg,A3,2x2,2009,5193,Lobo_enc,72,T0
A3_2X2_ortho.jpg,A3,2x2,2009,5645,Lobo_enc,73,T0
A3_2X2_ortho.jpg,A3,2x2,2009,6096,Lobo_enc,74,T0
A3_2X2_ortho.jpg,A3,2x2,2009,6548,Sed_turf,75,T0
A3_2X2_ortho.jpg,A3,2x2,2456,225,Sed_turf,76,T0
A3_2X2_ortho.jpg,A3,2x2,2456,676,Sed_turf,77,T0
A3_2X2_ortho.jpg,A3,2x2,2456,1128,Lobo_enc,78,T0
A3_2X2_ortho.jpg,A3,2x2,2456,1580,CCA,79,T0
A3_2X2_ortho.jpg,A3,2x2,2456,2031,Lobo_enc,80,T0
A3_2X2_ortho.jpg,A3,2x2,2456,2483,Lobo_enc,81,T0
A3_2X2_ortho.jpg,A3,2x2,2456,2935,Monti,82,T0
A3_2X2_ortho.jpg,A3,2x2,2456,3386,CCA,83,T0
A3_2X2_ortho.jpg,A3,2x2,2456,3838,Sedturfrub,84,T0
A3_2X2_ortho.jpg,A3,2x2,2456,4290,Lobo_enc,85,T0
A3_2X2_ortho.jpg,A3,2x2,2456,4741,CCA,86,T0
A3_2X2_ortho.jpg,A3,2x2,2456,5193,Sedturfrub,87,T0
A3_2X2_ortho.jpg,A3,2x2,2456,5645,Sed_turf,88,T0
A3_2X2_ortho.jpg,A3,2x2,2456,6096,Sed_turf,89,T0
A3_2X2_ortho.jpg,A3,2x2,2456,6548,Lobo_enc,90,T0
A3_2X2_ortho.jpg,A3,2x2,2902,225,Sed_turf,91,T0
A3_2X2_ortho.jpg,A3,2x2,2902,676,Lobo_enc,92,T0
A3_2X2_ortho.jpg,A3,2x2,2902,1128,Phyma,93,T0
A3_2X2_ortho.jpg,A3,2x2,2902,1580,Sed_turf,94,T0
A3_2X2_ortho.jpg,A3,2x2,2902,2031,Lobo_enc,95,T0
A3_2X2_ortho.jpg,A3,2x2,2902,2483,Lobo_enc,96,T0
A3_2X2_ortho.jpg,A3,2x2,2902,2935,Lobo_enc,97,T0
A3_2X2_ortho.jpg,A3,2x2,2902,3386,CCA,98,T0
A3_2X2_ortho.jpg,A3,2x2,2902,3838,Lobo_enc,99,T0
A3_2X2_ortho.jpg,A3,2x2,2902,4290,Sed_turf,100,T0
A3_2X2_ortho.jpg,A3,2x2,2902,4741,Sed_turf,101,T0
A3_2X2_ortho.jpg,A3,2x2,2902,5193,Sed_turf,102,T0
A3_2X2_ortho.jpg,A3,2x2,2902,5645,Lobo_enc,103,T0
A3_2X2_ortho.jpg,A3,2x2,2902,6096,Sedturfrub,104,T0
A3_2X2_ortho.jpg,A3,2x2,2902,6548,Sed_turf,105,T0
A3_2X2_ortho.jpg,A3,2x2,3349,225,OUT,106,T0
A3_2X2_ortho.jpg,A3,2x2,3349,676,Sed_turf,107,T0
A3_2X2_ortho.jpg,A3,2x2,3349,1128,CCA,108,T0
A3_2X2_ortho.jpg,A3,2x2,3349,1580,Lobo_enc,109,T0
A3_2X2_ortho.jpg,A3,2x2,3349,2031,Sed_turf,110,T0
A3_2X2_ortho.jpg,A3,2x2,3349,2483,Sed_turf,111,T0
A3_2X2_ortho.jpg,A3,2x2,3349,2935,Lobo_enc,112,T0
A3_2X2_ortho.jpg,A3,2x2,3349,3386,Sedturfrub,113,T0
A3_2X2_ortho.jpg,A3,2x2,3349,3838,Lobo_enc,114,T0
A3_2X2_ortho.jpg,A3,2x2,3349,4290,Monti,115,T0
A3_2X2_ortho.jpg,A3,2x2,3349,4741,Lobo_enc,116,T0
A3_2X2_ortho.jpg,A3,2x2,3349,5193,Lobo_enc,117,T0
A3_2X2_ortho.jpg,A3,2x2,3349,5645,Sturfrub,118,T0
A3_2X2_ortho.jpg,A3,2x2,3349,6096,Sturf,119,T0
A3_2X2_ortho.jpg,A3,2x2,3349,6548,CCA,120,T0
A3_2X2_ortho.jpg,A3,2x2,3796,225,OUT,121,T0
A3_2X2_ortho.jpg,A3,2x2,3796,676,CCA,122,T0
A3_2X2_ortho.jpg,A3,2x2,3796,1128,Sturf,123,T0
A3_2X2_ortho.jpg,A3,2x2,3796,1580,Lobo_enc,124,T0
A3_2X2_ortho.jpg,A3,2x2,3796,2031,CCA,125,T0
A3_2X2_ortho.jpg,A3,2x2,3796,2483,CCA,126,T0
A3_2X2_ortho.jpg,A3,2x2,3796,2935,Lobo_enc,127,T0
A3_2X2_ortho.jpg,A3,2x2,3796,3386,Lobo_enc,128,T0
A3_2X2_ortho.jpg,A3,2x2,3796,3838,CCA,129,T0
A3_2X2_ortho.jpg,A3,2x2,3796,4290,OUT,130,T0
A3_2X2_ortho.jpg,A3,2x2,3796,4741,Lobo_enc,131,T0
A3_2X2_ortho.jpg,A3,2x2,3796,5193,Lobo_enc,132,T0
A3_2X2_ortho.jpg,A3,2x2,3796,5645,Lobo_enc,133,T0
A3_2X2_ortho.jpg,A3,2x2,3796,6096,Sand,134,T0
A3_2X2_ortho.jpg,A3,2x2,3796,6548,Sedturfrub,135,T0
A3_2X2_ortho.jpg,A3,2x2,4242,225,OUT,136,T0
A3_2X2_ortho.jpg,A3,2x2,4242,676,Monti,137,T0
A3_2X2_ortho.jpg,A3,2x2,4242,1128,CCA,138,T0
A3_2X2_ortho.jpg,A3,2x2,4242,1580,Bare-Subst,139,T0
A3_2X2_ortho.jpg,A3,2x2,4242,2031,Sed_turf,140,T0
A3_2X2_ortho.jpg,A3,2x2,4242,2483,Lobo_enc,141,T0
A3_2X2_ortho.jpg,A3,2x2,4242,2935,Lobo_enc,142,T0
A3_2X2_ortho.jpg,A3,2x2,4242,3386,Lobo_enc,143,T0
A3_2X2_ortho.jpg,A3,2x2,4242,3838,Sed_turf,144,T0
A3_2X2_ortho.jpg,A3,2x2,4242,4290,Sedturfrub,145,T0
A3_2X2_ortho.jpg,A3,2x2,4242,4741,Sedturfrub,146,T0
A3_2X2_ortho.jpg,A3,2x2,4242,5193,Sedturfrub,147,T0
A3_2X2_ortho.jpg,A3,2x2,4242,5645,Sturfrub,148,T0
A3_2X2_ortho.jpg,A3,2x2,4242,6096,Lobo_fol,149,T0
A3_2X2_ortho.jpg,A3,2x2,4242,6548,Sedturfrub,150,T0
A3_2X2_ortho.jpg,A3,2x2,4689,225,Sed_turf,151,T0
A3_2X2_ortho.jpg,A3,2x2,4689,676,Monti,152,T0
A3_2X2_ortho.jpg,A3,2x2,4689,1128,Lobo_enc,153,T0
A3_2X2_ortho.jpg,A3,2x2,4689,1580,Monti,154,T0
A3_2X2_ortho.jpg,A3,2x2,4689,2031,Sed_turf,155,T0
A3_2X2_ortho.jpg,A3,2x2,4689,2483,CCA,156,T0
A3_2X2_ortho.jpg,A3,2x2,4689,2935,CCA,157,T0
A3_2X2_ortho.jpg,A3,2x2,4689,3386,Bare-Subst,158,T0
A3_2X2_ortho.jpg,A3,2x2,4689,3838,Lobo_enc,159,T0
A3_2X2_ortho.jpg,A3,2x2,4689,4290,Sedturfrub,160,T0
A3_2X2_ortho.jpg,A3,2x2,4689,4741,Sedturfrub,161,T0
A3_2X2_ortho.jpg,A3,2x2,4689,5193,Sedturfrub,162,T0
A3_2X2_ortho.jpg,A3,2x2,4689,5645,CCA,163,T0
A3_2X2_ortho.jpg,A3,2x2,4689,6096,Lobo_enc,164,T0
A3_2X2_ortho.jpg,A3,2x2,4689,6548,Lobo_enc,165,T0
A3_2X2_ortho.jpg,A3,2x2,5136,225,Sed_turf,166,T0
A3_2X2_ortho.jpg,A3,2x2,5136,676,Sed_turf,167,T0
A3_2X2_ortho.jpg,A3,2x2,5136,1128,Sed_turf,168,T0
A3_2X2_ortho.jpg,A3,2x2,5136,1580,CCA,169,T0
A3_2X2_ortho.jpg,A3,2x2,5136,2031,Sturf,170,T0
A3_2X2_ortho.jpg,A3,2x2,5136,2483,Lobo_enc,171,T0
A3_2X2_ortho.jpg,A3,2x2,5136,2935,Lobo_enc,172,T0
A3_2X2_ortho.jpg,A3,2x2,5136,3386,CCA,173,T0
A3_2X2_ortho.jpg,A3,2x2,5136,3838,CCA,174,T0
A3_2X2_ortho.jpg,A3,2x2,5136,4290,CCA,175,T0
A3_2X2_ortho.jpg,A3,2x2,5136,4741,Lobo_enc,176,T0
A3_2X2_ortho.jpg,A3,2x2,5136,5193,Sed_turf,177,T0
A3_2X2_ortho.jpg,A3,2x2,5136,5645,Sed_turf,178,T0
A3_2X2_ortho.jpg,A3,2x2,5136,6096,Sedturfrub,179,T0
A3_2X2_ortho.jpg,A3,2x2,5136,6548,Sed_turf,180,T0
A3_2X2_ortho.jpg,A3,2x2,5582,225,OUT,181,T0
