Plot,Herbivory,Row,Column,Label,Timepoint
A4,2x2,232,221,No dominance,T6
A4,2x2,232,1553,No dominance,T6
A4,2x2,232,2885,Macroalgae,T6
A4,2x2,232,4217,No dominance,T6
A4,2x2,232,5549,No dominance,T6
A4,2x2,1632,221,No dominance,T6
A4,2x2,1632,1553,Foliose Lobophora,T6
A4,2x2,1632,2885,Available Substrate,T6
A4,2x2,1632,4217,Available Substrate,T6
A4,2x2,1632,5549,Foliose Lobophora,T6
A4,2x2,3032,221,No dominance,T6
A4,2x2,3032,1553,Available Substrate,T6
A4,2x2,3032,2885,No dominance,T6
A4,2x2,3032,4217,Foliose Lobophora,T6
A4,2x2,3032,5549,Macroalgae,T6
A4,2x2,4432,221,No dominance,T6
A4,2x2,4432,1553,No dominance,T6
A4,2x2,4432,2885,No dominance,T6
A4,2x2,4432,4217,Foliose Lobophora,T6
A4,2x2,4432,5549,No dominance,T6
A4,2x2,5832,221,No dominance,T6
A4,2x2,5832,1553,No dominance,T6
A4,2x2,5832,2885,Foliose Lobophora,T6
A4,2x2,5832,4217,Foliose Lobophora,T6
A4,2x2,5832,5549,No dominance,T6
