Name,Row,Column,Observation_Number,T0_Label,T3_Label,T6_Label,T9_Label,T12_Label
C2_2X2_orthomosaic.jpg,225,231,1,Lobo_enc,OUT,OUT,Lobo_enc,OUT
C2_2X2_orthomosaic.jpg,225,695,2,Sed_turf,Lobo_enc,Lobo_fol,Lobo_fol,Cage
C2_2X2_orthomosaic.jpg,225,1160,3,Sed_turf,Lobo_enc,Lobo_fol,Lobo_fol,Cage
C2_2X2_orthomosaic.jpg,225,1624,4,CCA,Lobo_enc,Lobo_fol,Lobo_fol,Cage
C2_2X2_orthomosaic.jpg,225,2088,5,Lobo_enc,Lobo_fol,Lobo_fol,Lobo_fol,Cage
C2_2X2_orthomosaic.jpg,225,2553,6,Lobo_enc,Sed_turf,Lobo_fol,Lobo_fol,Cage
C2_2X2_orthomosaic.jpg,225,3017,7,Lobo_enc,Sed_turf,Lobo_fol,Monti,Cage
C2_2X2_orthomosaic.jpg,225,3481,8,Sed_turf,Sand,Lobo_fol,Por_mass,Cage
C2_2X2_orthomosaic.jpg,225,3946,9,Lobo_enc,B_Monti,Monti,Lobo_enc,Cage
C2_2X2_orthomosaic.jpg,225,4410,10,Sed_turf,Monti,Monti,Cage,Phyma
C2_2X2_orthomosaic.jpg,225,4874,11,Monti,Monti,Monti,Sed_turf,Lobo_fol
C2_2X2_orthomosaic.jpg,225,5339,12,Lobo_enc,Monti,Monti,Poc,Lobo_enc
C2_2X2_orthomosaic.jpg,225,5803,13,Sed_turf,Pad_bor,Lobo_fol,Lobo_fol,Cage
C2_2X2_orthomosaic.jpg,225,6267,14,Sturfrub,Lobo_enc,Lobo_fol,OUT,OUT
C2_2X2_orthomosaic.jpg,225,6732,15,Sed_turf,Lobo_fol,OUT,OUT,OUT
C2_2X2_orthomosaic.jpg,677,231,16,Sed_turf,Cage,OUT,Pavona,OUT
C2_2X2_orthomosaic.jpg,677,695,17,Lobo_enc,Lobo_fol,Lobo_fol,Lobo_fol,Lobo_fol
C2_2X2_orthomosaic.jpg,677,1160,18,CCA,Lobo_fol,Pavona,Lobo_enc,Hal_sp
C2_2X2_orthomosaic.jpg,677,1624,19,Lobo_enc,Lobo_fol,Tur_orn,Lobo_fol,Hal_sp
C2_2X2_orthomosaic.jpg,677,2088,20,Lobo_enc,Sed_turf,Sed_turf,Lobo_fol,Sed_turf
C2_2X2_orthomosaic.jpg,677,2553,21,Lobo_enc,Lobo_fol,Lobo_fol,Pad_bor,Cyano
C2_2X2_orthomosaic.jpg,677,3017,22,Sed_turf,Sed_turf,Lobo_fol,Lobo_fol,Hal_sp
C2_2X2_orthomosaic.jpg,677,3481,23,Sed_turf,Lobo_fol,Lobo_fol,Lobo_fol,Hal_sp
C2_2X2_orthomosaic.jpg,677,3946,24,Sed_turf,Lobo_fol,Lobo_fol,Lobo_enc,Hal_sp
C2_2X2_orthomosaic.jpg,677,4410,25,Sedturfrub,Monti,Monti,Lobo_enc,Lobo_enc
C2_2X2_orthomosaic.jpg,677,4874,26,Sed_turf,Monti,Monti,Phyma,Sed_turf
C2_2X2_orthomosaic.jpg,677,5339,27,CCA,Sedturfrub,Sand,Lobo_enc,Lobo_enc
C2_2X2_orthomosaic.jpg,677,5803,28,Sed_turf,Lobo_enc,Monti,Enc_cor,Pavona
C2_2X2_orthomosaic.jpg,677,6267,29,Sed_turf,Lobo_fol,Lobo_fol,Hal_sp,Pavona
C2_2X2_orthomosaic.jpg,677,6732,30,Lobo_enc,Lobo_fol,Monti,Cage,Cage
C2_2X2_orthomosaic.jpg,1129,231,31,Lobo_enc,Sed_turf,Sand,Sed_turf,Cage
C2_2X2_orthomosaic.jpg,1129,695,32,Sed_turf,Lobo_fol,Pavona,Lobo_fol,Lobo_fol
C2_2X2_orthomosaic.jpg,1129,1160,33,Lobo_enc,Lobo_fol,Tur_orn,Lobo_fol,Lobo_enc
C2_2X2_orthomosaic.jpg,1129,1624,34,Lobo_enc,Lobo_fol,Sed_turf,Lobo_fol,Hal_dead
C2_2X2_orthomosaic.jpg,1129,2088,35,Lobo_enc,Sedturfrub,Lobo_fol,Lobo_fol,Hal_sp
C2_2X2_orthomosaic.jpg,1129,2553,36,Lobo_enc,Lobo_enc,Lobo_fol,Lobo_fol,Acr_tab
C2_2X2_orthomosaic.jpg,1129,3017,37,Sed_turf,Sedturfrub,Pad_bor,Por_mass,Hal_sp
C2_2X2_orthomosaic.jpg,1129,3481,38,Sedturfrub,Lobo_fol,Lobo_fol,Sed_turf,Lobo_fol
C2_2X2_orthomosaic.jpg,1129,3946,39,Sed_turf,Lobo_enc,Lobo_fol,Lobo_enc,Hal_sp
C2_2X2_orthomosaic.jpg,1129,4410,40,Lobo_enc,Monti,Monti,Tur_orn,Hal_sp
C2_2X2_orthomosaic.jpg,1129,4874,41,Sed_turf,Lobo_enc,Sed_turf,Pad_bor,Lobo_fol
C2_2X2_orthomosaic.jpg,1129,5339,42,Sed_turf,Sedturfrub,Sed_turf,Hal_sp,Lobo_fol
C2_2X2_orthomosaic.jpg,1129,5803,43,Sed_turf,Lobo_fol,Lobo_enc,Lobo_fol,Lobo_fol
C2_2X2_orthomosaic.jpg,1129,6267,44,Sed_turf,Lobo_enc,Tur_orn,Lobo_fol,Sed_turf
C2_2X2_orthomosaic.jpg,1129,6732,45,Sed_turf,Lobo_enc,Sed_turf,Lobo_fol,Lobo_fol
C2_2X2_orthomosaic.jpg,1582,231,46,Monti,Sed_turf,Hal_sp,Lobo_fol,Cage
C2_2X2_orthomosaic.jpg,1582,695,47,Sedturfrub,Lobo_fol,Lobo_enc,Lobo_fol,Acantha
C2_2X2_orthomosaic.jpg,1582,1160,48,Sed_turf,Sed_turf,Sed_turf,Pad_bor,Lobo_fol
C2_2X2_orthomosaic.jpg,1582,1624,49,Lobo_enc,Sed_turf,Sed_turf,Lobo_fol,Lobo_enc
C2_2X2_orthomosaic.jpg,1582,2088,50,Sed_turf,Lobo_fol,Lobo_fol,Lobo_fol,L_turf
C2_2X2_orthomosaic.jpg,1582,2553,51,CCA,Lobo_fol,Lobo_fol,Lobo_fol,Lobo_enc
C2_2X2_orthomosaic.jpg,1582,3017,52,Lobo_enc,Lobo_enc,Lobo_fol,Pad_bor,Lobo_fol
C2_2X2_orthomosaic.jpg,1582,3481,53,Sed_turf,Lobo_fol,Lobo_fol,Sedturfrub,Monti
C2_2X2_orthomosaic.jpg,1582,3946,54,Sed_turf,Sed_turf,Sed_turf,Sedturfrub,Hal_sp
C2_2X2_orthomosaic.jpg,1582,4410,55,Lobo_enc,Sed_turf,Sed_turf,Lobo_enc,Sed_turf
C2_2X2_orthomosaic.jpg,1582,4874,56,Lobo_enc,Lobo_enc,Lobo_fol,Pad_bor,Monti
C2_2X2_orthomosaic.jpg,1582,5339,57,Sedturfrub,Lobo_enc,Sed_turf,Sed_turf,Lobo_enc
C2_2X2_orthomosaic.jpg,1582,5803,58,Sed_turf,Lobo_fol,Lobo_fol,Lobo_fol,Sar_pac
C2_2X2_orthomosaic.jpg,1582,6267,59,Sed_turf,Sed_turf,Lobo_fol,Lobo_fol,Lobo_fol
C2_2X2_orthomosaic.jpg,1582,6732,60,CCA,Lobo_enc,Lobo_fol,Lobo_fol,Lobo_fol
C2_2X2_orthomosaic.jpg,2034,231,61,Monti,Sedturfrub,Lobo_enc,Lobo_fol,Cage
C2_2X2_orthomosaic.jpg,2034,695,62,Monti,Sedturfrub,Por_mass,Lobo_fol,Phyma
C2_2X2_orthomosaic.jpg,2034,1160,63,Sed_turf,Lobo_enc,Lobo_enc,Lobo_fol,Lobo_fol
C2_2X2_orthomosaic.jpg,2034,1624,64,Lobo_enc,Sed_turf,Lobo_fol,Lobo_fol,Sed_turf
C2_2X2_orthomosaic.jpg,2034,2088,65,Lobo_enc,Lobo_fol,Lobo_fol,Lobo_fol,Monti
C2_2X2_orthomosaic.jpg,2034,2553,66,CCA,Lobo_enc,Lobo_fol,Lobo_fol,Poc
C2_2X2_orthomosaic.jpg,2034,3017,67,CCA,Sed_turf,Lobo_fol,Lobo_enc,Monti
C2_2X2_orthomosaic.jpg,2034,3481,68,Lobo_enc,Hal_min,Lobo_fol,Jan_sp,Monti
C2_2X2_orthomosaic.jpg,2034,3946,69,Sedturfrub,Hal_min,Sed_turf,Lobo_fol,Sedturfrub
C2_2X2_orthomosaic.jpg,2034,4410,70,Sedturfrub,Sed_turf,Lobo_enc,Lobo_fol,Lobo_fol
C2_2X2_orthomosaic.jpg,2034,4874,71,Sedturfrub,Lobo_fol,Lobo_fol,Lobo_enc,Lobo_fol
C2_2X2_orthomosaic.jpg,2034,5339,72,Lobo_fol,Lobo_enc,Sed_turf,Lobo_fol,Lobo_fol
C2_2X2_orthomosaic.jpg,2034,5803,73,Sed_turf,CCA,Lobo_enc,Pad_bor,Spato
C2_2X2_orthomosaic.jpg,2034,6267,74,Sedturfrub,Lobo_enc,Lobo_enc,Acr_tab,Lobo_fol
C2_2X2_orthomosaic.jpg,2034,6732,75,Sed_turf,Lobo_enc,Lobo_fol,Sed_turf,Lobo_enc
C2_2X2_orthomosaic.jpg,2486,231,76,Monti,Sed_turf,Sed_turf,Sed_turf,Cage
C2_2X2_orthomosaic.jpg,2486,695,77,Monti,Sed_turf,Lobo_enc,Lobo_fol,Lobo_enc
C2_2X2_orthomosaic.jpg,2486,1160,78,CCA,Lobo_fol,Lobo_fol,Lobo_fol,Lobo_enc
C2_2X2_orthomosaic.jpg,2486,1624,79,Monti,Sed_turf,Lobo_fol,Urchin,Lobo_enc
C2_2X2_orthomosaic.jpg,2486,2088,80,Sed_turf,Lobo_fol,Lobo_enc,Lobo_enc,Hal_sp
